"date","week","ccLabel","day_count","lTemp","sdPos","tank","trt","water","ind","log.sdPos","log.lTemp","day_number","log.day_number"
"11/11/2019","week3","tank1_control_no_Yellow","D14",15.66847,2.68328157299975,"tank1","control","no","Yellow",0.987040513011005,2.7516504128007,14,2.63905732961526
"11/12/2019","week3","tank4_heating_yes_Yellow","D15",25.23684,1.09544511501033,"tank4","heating","yes","Yellow",0.0911607783969772,3.22830483173682,15,2.70805020110221
"11/12/2019","week3","tank4_heating_no_Yellow","D15",31.18619,1.58113883008419,"tank4","heating","no","Yellow",0.458145365937078,3.43997536862153,15,2.70805020110221
"11/8/2019","week3","tank4_heating_no_Black","D11",31.8743068433333,1.34164078649987,"tank4","heating","no","Black",0.29389333245106,3.46180025715064,11,2.39789527279837
"11/8/2019","week3","tank3_heating_no_Black","D11",29.7484716933333,2.34520787991171,"tank3","heating","no","Black",0.852374046119213,3.39277775901941,11,2.39789527279837
"11/8/2019","week3","tank2_control_yes_Black","D11",16.3080704666667,1.48323969741913,"tank2","control","yes","Black",0.394228680182135,2.79166010593533,11,2.39789527279837
"11/8/2019","week3","tank1_control_yes_Black","D11",16.33821498,1.4142135623731,"tank1","control","yes","Black",0.346573590279973,2.79350684111442,11,2.39789527279837
"11/8/2019","week3","tank1_control_no_Black","D11",15.7292558066667,3.3466401061363,"tank1","control","no","Black",1.20795688915052,2.75552240550388,11,2.39789527279837
"11/9/2019","week3","tank3_heating_no_Black","D12",30.4848966666667,1.6431676725155,"tank3","heating","no","Black",0.496625886505142,3.41723136970885,12,2.484906649788
"11/9/2019","week3","tank2_control_yes_Black","D12",16.30807,1.48323969741913,"tank2","control","yes","Black",0.394228680182135,2.79166007731964,12,2.484906649788
"11/9/2019","week3","tank2_control_no_Black","D12",16.26537,1.14017542509914,"tank2","control","no","Black",0.131182132233746,2.78903830789898,12,2.484906649788
"11/10/2019","week3","tank3_heating_no_Black","D13",29.8221133333333,1.6431676725155,"tank3","heating","no","Black",0.496625886505142,3.39525017648788,13,2.56494935746154
"11/10/2019","week3","tank2_control_yes_Black","D13",16.2756733333333,1.51657508881031,"tank2","control","yes","Black",0.416454561467552,2.78967155948665,13,2.56494935746154
"11/10/2019","week3","tank1_control_yes_Black","D13",16.29013,1.34164078649987,"tank1","control","yes","Black",0.29389333245106,2.79055940293816,13,2.56494935746154
"11/11/2019","week3","tank4_heating_no_Black","D14",34.38993,1.09544511501033,"tank4","heating","no","Black",0.0911607783969772,3.53776378896667,14,2.63905732961526
"11/11/2019","week3","tank2_control_no_Black","D14",16.4389366666667,1.09544511501033,"tank2","control","no","Black",0.0911607783969774,2.79965270789307,14,2.63905732961526
"11/12/2019","week3","tank4_heating_no_Black","D15",31.18619,1.73205080756888,"tank4","heating","no","Black",0.549306144334055,3.43997536862153,15,2.70805020110221
"11/12/2019","week3","tank1_control_no_Black","D15",15.6108866666667,1.34164078649987,"tank1","control","no","Black",0.29389333245106,2.74796853411003,15,2.70805020110221
"11/8/2019","week3","tank4_heating_yes_White","D11",25.2786978366667,2.70185121722126,"tank4","heating","yes","White",0.993937174077173,3.22996205832646,11,2.39789527279837
"11/8/2019","week3","tank3_heating_no_White","D11",29.7484716933333,4.82700735445887,"tank3","heating","no","White",1.57422668028583,3.39277775901941,11,2.39789527279837
"11/8/2019","week3","tank1_control_yes_White","D11",16.33821498,1.4142135623731,"tank1","control","yes","White",0.346573590279973,2.79350684111442,11,2.39789527279837
"11/8/2019","week3","tank1_control_no_White","D11",15.7292558066667,1.09544511501033,"tank1","control","no","White",0.0911607783969772,2.75552240550388,11,2.39789527279837
"11/9/2019","week3","tank4_heating_no_White","D12",31.8839066666667,4.72228758124704,"tank4","heating","no","White",1.55229333923304,3.46210138928334,12,2.484906649788
"11/9/2019","week3","tank3_heating_yes_White","D12",26.3677466666667,3.11448230047949,"tank3","heating","yes","White",1.13606294275467,3.27214154607573,12,2.484906649788
"11/9/2019","week3","tank3_heating_no_White","D12",30.4848966666667,2.82842712474619,"tank3","heating","no","White",1.03972077083992,3.41723136970885,12,2.484906649788
"11/9/2019","week3","tank2_control_yes_White","D12",16.30807,1.09544511501033,"tank2","control","yes","White",0.0911607783969774,2.79166007731964,12,2.484906649788
"11/9/2019","week3","tank2_control_no_White","D12",16.26537,1.58113883008419,"tank2","control","no","White",0.458145365937078,2.78903830789898,12,2.484906649788
"11/9/2019","week3","tank1_control_yes_White","D12",16.2997466666667,1.87082869338697,"tank1","control","yes","White",0.626381484247684,2.79114956576965,12,2.484906649788
"11/10/2019","week3","tank2_control_no_White","D13",16.0596633333333,1.51657508881031,"tank2","control","no","White",0.416454561467552,2.77631074524368,13,2.56494935746154
"11/11/2019","week3","tank4_heating_yes_White","D14",25.1306,1.14017542509914,"tank4","heating","yes","White",0.131182132233746,3.22408622711608,14,2.63905732961526
"11/11/2019","week3","tank3_heating_yes_White","D14",26.25226,9.19238815542512,"tank3","heating","yes","White",2.21837576718156,3.26775208056975,14,2.63905732961526
"11/11/2019","week3","tank3_heating_no_White","D14",29.1913533333333,1.30384048104053,"tank3","heating","no","White",0.265314125531085,3.37387254670097,14,2.63905732961526
"11/11/2019","week3","tank1_control_yes_White","D14",16.38309,1.87082869338697,"tank1","control","yes","White",0.626381484247684,2.7962497053224,14,2.63905732961526
"11/12/2019","week3","tank4_heating_yes_White","D15",25.23684,1.14017542509914,"tank4","heating","yes","White",0.131182132233746,3.22830483173682,15,2.70805020110221
"11/12/2019","week3","tank3_heating_yes_White","D15",26.1303566666667,3.04959013639538,"tank3","heating","yes","White",1.11500720007961,3.26309772913958,15,2.70805020110221
"11/12/2019","week3","tank3_heating_no_White","D15",29.8381266666667,2.07364413533277,"tank3","heating","no","White",0.729307511349758,3.39578699409766,15,2.70805020110221
"11/12/2019","week3","tank2_control_no_White","D15",16.60929,1.48323969741913,"tank2","control","no","White",0.394228680182135,2.80996217737746,15,2.70805020110221
"11/12/2019","week3","tank1_control_yes_White","D15",16.3606533333333,1.4142135623731,"tank1","control","yes","White",0.346573590279973,2.79487926517755,15,2.70805020110221
"11/15/2019","week4","tank4_heating_yes_Red","D16",26.84340016,1.14017542509914,"tank4","heating","yes","Red",0.131182132233746,3.29001998664326,16,2.77258872223978
"11/15/2019","week4","tank4_heating_no_Red","D16",31.93831769,3.42052627529741,"tank4","heating","no","Red",1.22979442090186,3.46380647045418,16,2.77258872223978
"11/15/2019","week4","tank3_heating_yes_Red","D16",28.0551351533333,5.01996015920445,"tank3","heating","yes","Red",1.61342199725869,3.33417168663326,16,2.77258872223978
"11/15/2019","week4","tank3_heating_no_Red","D16",31.09324398,1.6431676725155,"tank3","heating","no","Red",0.496625886505142,3.43699056021639,16,2.77258872223978
"11/16/2019","week4","tank4_heating_no_Red","D17",34.5851662366667,1.09544511501033,"tank4","heating","no","Red",0.0911607783969774,3.54342486865273,17,2.83321334405622
"11/16/2019","week4","tank3_heating_no_Red","D17",33.7571738433333,1.8165902124585,"tank3","heating","no","Red",0.596961234236217,3.51919295305221,17,2.83321334405622
"11/16/2019","week4","tank2_control_yes_Red","D17",20.0662996033333,1.34164078649987,"tank2","control","yes","Red",0.29389333245106,2.99904177128667,17,2.83321334405622
"11/16/2019","week4","tank1_control_yes_Red","D17",19.5212564733333,1.51657508881031,"tank1","control","yes","Red",0.416454561467552,2.97150394742431,17,2.83321334405622
"11/17/2019","week4","tank3_heating_no_Red","D18",33.7571738433333,2.48997991959775,"tank3","heating","no","Red",0.912274646025523,3.51919295305221,18,2.89037175789616
"11/17/2019","week4","tank2_control_no_Red","D18",20.8230857233333,1.14017542509914,"tank2","control","no","Red",0.131182132233746,3.036062261779,18,2.89037175789616
"11/18/2019","week4","tank4_heating_yes_Red","D19",27.08808612,1.34164078649987,"tank4","heating","yes","Red",0.29389333245106,3.2990940046533,19,2.94443897916644
